132
13
5051415
854
 0 1 1 10 35  12 (D 0,1,1) (S 3,4,4) (S 8,1,4) (S 4,5,5) (S 11,4,5) (S 23,5,7) (S 9,7,8) (S 9,8,7) (S 9,7,8) (S 5,6,6) (S 7,8,6) (D 0,1,1)
 0 1 2 8 27  10 (D 0,1,1) (S 1,2,2) (S 6,1,2) (S 20,2,8) (S 4,5,5) (S 10,8,5) (S 10,5,8) (S 5,6,6) (S 7,8,6) (D 0,1,1)
 0 1 3 2 6  4 (D 0,1,1) (S 4,5,5) (S 12,1,5) (D 0,1,1)
 0 1 4 4 4  6 (D 0,1,1) (S 2,3,3) (S 14,1,3) (S 4,5,5) (S 13,3,5) (D 0,1,1)
 0 1 5 1 2  3 (D 0,1,1) (S 16,1,7) (D 0,1,1)
 0 1 6 1 1  3 (D 0,1,1) (S 24,1,8) (D 0,1,1)
 0 1 7 3 3  5 (D 0,1,1) (S 2,3,3) (S 14,1,3) (S 15,3,8) (D 0,1,1)
 0 1 8 4 5  6 (D 0,1,1) (S 2,3,3) (S 14,1,3) (S 5,6,6) (S 17,3,6) (D 0,1,1)
 0 1 9 3 7  5 (D 0,1,1) (S 3,4,4) (S 8,1,4) (S 18,4,7) (D 0,1,1)
 0 1 10 4 5  6 (D 0,1,1) (S 3,4,4) (S 8,1,4) (S 5,6,6) (S 19,4,6) (D 0,1,1)
 0 1 11 3 10  5 (D 0,1,1) (S 1,2,2) (S 6,1,2) (S 21,2,7) (D 0,1,1)
 0 1 12 4 8  6 (D 0,1,1) (S 1,2,2) (S 6,1,2) (S 4,5,5) (S 22,2,5) (D 0,1,1)
 0 1 13 4 6  6 (D 0,1,1) (S 1,2,2) (S 6,1,2) (S 5,6,6) (S 25,2,6) (D 0,1,1)
