6714
12
5023071
60199
 0 1 1 39 61  41 (D 0,1,1) (S 3,6,6) (S 100,1,6) (S 9,13,13) (S 81,6,13) (S 10,14,14) (S 37,13,14) (S 9,13,13) (S 37,14,13) (S 3,6,6) (S 85,13,6) (S 82,6,1) (S 3,6,6) (S 100,1,6) (S 8,12,12) (S 107,6,12) (S 7,11,11) (S 87,12,11) (S 8,12,12) (S 80,11,12) (S 7,11,11) (S 87,12,11) (S 51,11,19) (S 7,11,11) (S 51,19,11) (S 51,11,19) (S 14,20,20) (S 41,19,20) (S 45,20,21) (S 9,13,13) (S 49,21,13) (S 49,13,21) (S 15,22,22) (S 105,21,22) (S 102,22,21) (S 9,13,13) (S 49,21,13) (S 3,6,6) (S 85,13,6) (S 82,6,1) (D 0,1,1)
 0 1 2 16 18  18 (D 0,1,1) (S 3,6,6) (S 100,1,6) (S 8,12,12) (S 107,6,12) (S 7,11,11) (S 87,12,11) (S 51,11,19) (S 17,26,26) (S 68,19,26) (S 43,26,34) (S 20,30,30) (S 90,34,30) (S 17,26,26) (S 86,30,26) (S 19,29,29) (S 78,26,29) (D 0,1,1)
 0 1 3 12 16  14 (D 0,1,1) (S 3,6,6) (S 100,1,6) (S 8,12,12) (S 107,6,12) (S 7,11,11) (S 87,12,11) (S 51,11,19) (S 60,19,18) (S 60,18,19) (S 60,19,18) (S 19,29,29) (S 64,18,29) (D 0,1,1)
 0 1 4 35 44  37 (D 0,1,1) (S 3,6,6) (S 100,1,6) (S 8,12,12) (S 107,6,12) (S 7,11,11) (S 87,12,11) (S 51,11,19) (S 60,19,18) (S 17,26,26) (S 67,18,26) (S 20,30,30) (S 97,26,30) (S 17,26,26) (S 86,30,26) (S 43,26,34) (S 56,34,40) (S 26,41,41) (S 50,40,41) (S 33,48,48) (S 92,41,48) (S 32,47,47) (S 44,48,47) (S 103,47,40) (S 56,40,34) (S 56,34,40) (S 23,33,33) (S 40,40,33) (S 53,33,34) (S 56,34,40) (S 32,47,47) (S 76,40,47) (S 33,48,48) (S 44,47,48) (S 26,41,41) (S 88,48,41) (D 0,1,1)
 0 1 5 11 22  13 (D 0,1,1) (S 3,6,6) (S 100,1,6) (S 9,13,13) (S 81,6,13) (S 49,13,21) (S 18,27,27) (S 39,21,27) (S 21,31,31) (S 48,27,31) (S 22,32,32) (S 71,31,32) (D 0,1,1)
 0 1 6 18 38  20 (D 0,1,1) (S 3,6,6) (S 100,1,6) (S 9,13,13) (S 81,6,13) (S 49,13,21) (S 18,27,27) (S 39,21,27) (S 39,27,21) (S 18,27,27) (S 39,21,27) (S 42,27,36) (S 27,42,42) (S 73,36,42) (S 79,42,36) (S 27,42,42) (S 73,36,42) (S 26,41,41) (S 84,42,41) (D 0,1,1)
 0 1 7 57 126  59 (D 0,1,1) (S 3,6,6) (S 100,1,6) (S 9,13,13) (S 81,6,13) (S 49,13,21) (S 15,22,22) (S 105,21,22) (S 102,22,21) (S 18,27,27) (S 39,21,27) (S 21,31,31) (S 48,27,31) (S 95,31,23) (S 11,15,15) (S 52,23,15) (S 52,15,23) (S 21,31,31) (S 74,23,31) (S 24,37,37) (S 96,31,37) (S 25,38,38) (S 99,37,38) (S 63,38,28) (S 25,38,38) (S 91,28,38) (S 28,43,43) (S 46,38,43) (S 25,38,38) (S 46,43,38) (S 28,43,43) (S 46,38,43) (S 35,50,50) (S 83,43,50) (S 29,44,44) (S 55,50,44) (S 27,42,42) (S 72,44,42) (S 79,42,36) (S 18,27,27) (S 42,36,27) (S 21,31,31) (S 48,27,31) (S 24,37,37) (S 96,31,37) (S 28,43,43) (S 109,37,43) (S 27,42,42) (S 106,43,42) (S 79,42,36) (S 18,27,27) (S 42,36,27) (S 39,27,21) (S 9,13,13) (S 49,21,13) (S 3,6,6) (S 85,13,6) (S 82,6,1) (D 0,1,1)
 0 1 8 23 64  25 (D 0,1,1) (S 3,6,6) (S 100,1,6) (S 9,13,13) (S 81,6,13) (S 49,13,21) (S 18,27,27) (S 39,21,27) (S 21,31,31) (S 48,27,31) (S 95,31,23) (S 16,24,24) (S 77,23,24) (S 66,24,23) (S 15,22,22) (S 104,23,22) (S 102,22,21) (S 18,27,27) (S 39,21,27) (S 42,27,36) (S 38,36,35) (S 38,35,36) (S 38,36,35) (S 70,35,34) (D 0,1,1)
 0 1 9 11 26  13 (D 0,1,1) (S 3,6,6) (S 100,1,6) (S 9,13,13) (S 81,6,13) (S 49,13,21) (S 18,27,27) (S 39,21,27) (S 42,27,36) (S 38,36,35) (S 26,41,41) (S 98,35,41) (D 0,1,1)
 0 1 10 34 82  36 (D 0,1,1) (S 3,6,6) (S 100,1,6) (S 9,13,13) (S 81,6,13) (S 49,13,21) (S 18,27,27) (S 39,21,27) (S 21,31,31) (S 48,27,31) (S 24,37,37) (S 96,31,37) (S 28,43,43) (S 109,37,43) (S 27,42,42) (S 106,43,42) (S 79,42,36) (S 18,27,27) (S 42,36,27) (S 21,31,31) (S 48,27,31) (S 95,31,23) (S 11,15,15) (S 52,23,15) (S 6,9,9) (S 47,15,9) (S 54,9,3) (S 36,3,4) (S 94,4,10) (S 13,17,17) (S 89,10,17) (S 58,17,25) (S 59,25,28) (S 22,32,32) (S 112,28,32) (D 0,1,1)
 0 1 11 39 69  41 (D 0,1,1) (S 3,6,6) (S 100,1,6) (S 9,13,13) (S 81,6,13) (S 49,13,21) (S 18,27,27) (S 39,21,27) (S 21,31,31) (S 48,27,31) (S 95,31,23) (S 11,15,15) (S 52,23,15) (S 6,9,9) (S 47,15,9) (S 11,15,15) (S 47,9,15) (S 6,9,9) (S 47,15,9) (S 5,8,8) (S 62,9,8) (S 4,7,7) (S 110,8,7) (S 3,6,6) (S 75,7,6) (S 9,13,13) (S 81,6,13) (S 49,13,21) (S 18,27,27) (S 39,21,27) (S 21,31,31) (S 48,27,31) (S 24,37,37) (S 96,31,37) (S 28,43,43) (S 109,37,43) (S 35,50,50) (S 83,43,50) (S 30,45,45) (S 108,50,45) (D 0,1,1)
 0 1 12 56 117  58 (D 0,1,1) (S 3,6,6) (S 100,1,6) (S 9,13,13) (S 81,6,13) (S 49,13,21) (S 18,27,27) (S 39,21,27) (S 21,31,31) (S 48,27,31) (S 95,31,23) (S 11,15,15) (S 52,23,15) (S 6,9,9) (S 47,15,9) (S 5,8,8) (S 62,9,8) (S 4,7,7) (S 110,8,7) (S 5,8,8) (S 111,7,8) (S 4,7,7) (S 110,8,7) (S 3,6,6) (S 75,7,6) (S 9,13,13) (S 81,6,13) (S 49,13,21) (S 18,27,27) (S 39,21,27) (S 21,31,31) (S 48,27,31) (S 24,37,37) (S 96,31,37) (S 28,43,43) (S 109,37,43) (S 25,38,38) (S 46,43,38) (S 63,38,28) (S 59,28,25) (S 13,17,17) (S 58,25,17) (S 12,16,16) (S 57,17,16) (S 13,17,17) (S 57,16,17) (S 12,16,16) (S 57,17,16) (S 6,9,9) (S 93,16,9) (S 5,8,8) (S 62,9,8) (S 4,7,7) (S 110,8,7) (S 3,6,6) (S 75,7,6) (S 82,6,1) (D 0,1,1)
